timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1730099999186,6677,q96,200,OK,Single Thread Group 1-1,text,true,,13,0,1,1,null,6673,0,989
1730100005867,33845,q7,200,OK,Single Thread Group 1-1,text,true,,7067,0,1,1,null,33829,0,0
1730100052203,1497,q91,200,OK,Single Thread Group 1-1,text,true,,1771,0,1,1,null,1477,0,0
1730100053700,14498,q43,200,OK,Single Thread Group 1-1,text,true,,14705,0,1,1,null,14487,0,0
1730100082726,5897,q62,200,OK,Single Thread Group 1-1,text,true,,5344,0,1,1,null,5888,0,0
1730100088709,13248,q63,200,OK,Single Thread Group 1-1,text,true,,3614,0,1,1,null,13233,0,0
1730100102119,33215,q59,200,OK,Single Thread Group 1-1,text,true,,15530,0,1,1,null,33202,0,0
1730100135335,5909,q85,200,OK,Single Thread Group 1-1,text,true,,2367,0,1,1,null,5894,0,0
1730100141244,42541,q28,200,OK,Single Thread Group 1-1,text,true,,313,0,1,1,null,42525,0,0
1730100200674,9228,q3,200,OK,Single Thread Group 1-1,text,true,,4461,0,1,1,null,9218,0,0
1730100211107,51320,q9,200,OK,Single Thread Group 1-1,text,true,,132,0,1,1,null,51291,0,0
1730100279495,14537,q71,200,OK,Single Thread Group 1-1,text,true,,2617181,0,1,1,null,14295,0,0
1730100294033,9650,q34,200,OK,Single Thread Group 1-1,text,true,,137347,0,1,1,null,9628,0,0
1730100303784,7865,q73,200,OK,Single Thread Group 1-1,text,true,,1612,0,1,1,null,7826,0,0
1730100311649,4203,q84,200,OK,Single Thread Group 1-1,text,true,,3173,0,1,1,null,4175,0,0
1730100315853,8165,q55,200,OK,Single Thread Group 1-1,text,true,,3889,0,1,1,null,8155,0,0
1730100324095,14664,q2,200,OK,Single Thread Group 1-1,text,true,,95009,0,1,1,null,14651,0,0
1730100338760,5623,q26,200,OK,Single Thread Group 1-1,text,true,,5895,0,1,1,null,5610,0,0
1730100344383,12802,q53,200,OK,Single Thread Group 1-1,text,true,,3026,0,1,1,null,12770,0,0
1730100365574,7866,q99,200,OK,Single Thread Group 1-1,text,true,,483,0,1,1,null,7854,0,0
